Sexo,Edad,Rng_edad,EstadoCivil,Trabaja_estudia,NSE,TieneTV_Radio,TieneComputadora,TieneLaptop,TieneIPAD,TieneEquipoMusica,TieneTelfInteligente,TieneKindle,CompraComida,RopaSuper,RopaLocal,RopaTianguis,RopaCentroComerc,RopaBoutique,RopaExtranjero,RopaInternet,RopaUsada,RopaVendedorIndep,TiempLibreCasa,TiempLibreAmigos,TiempLibreRestaurante,TiempLibreCentroComercial,TiempoLibreCine,TiempoLibreExpoArte,TiempLibreConcierto,TiempLibreParque,TiempLibreMuseo,TiempLibreDiscoteca,TiempLibreClubSocial,TiempLibreDeportes,TiempLibreNaturaleza,CantidadLibros,Oficio,Idioma,GradoInstruccEncuest,P22_1,P22_2,SalidasFiestFamiliar,SalidaFiestAmigos,SalidaCarnavales,SalidaConciert_Teat,SalidaFiestaPatronal,SalidaAntros,SalidaRestaurante,SalidasConAmigos,RSArtagr_desag,RSArtEnt_abu,RSArtUtil_inut,RSArtEmoc_indf,RelacArtTV,RelacArtCine,RelacArtDiversio,RelacArtConoc,RelacArtbellez,RelacArtSenti,RelacArtCumb,RelacArtCultur,RelacArtPrivileg,RelacArtExtraord,GustoCiencia,MedDifCienciaTV,medDifCienciaRev,medDifCienciaPeriod,MedDifCienciaInternet,medDifCienciaFamilia,MedDifCienciaEscuel,DifusionCiencia,AsistencaiCiencia,AsistCienciaFamilia,AsistCienciaAmigos,AsistCienciaConocid,AsistCienciaSOLO,AsistCienciaNovio,GustoArtes,PrefArtesMus,PrefArtePint,PrefArteArtesa,PrefArteDanz,PrefArteTeat,PrefArteLiter,PrefArteCine,InfArteTv_radi,InfArteRevista,InfArtePeriod,InfoArtInternet,InfArteFam_Am,InfArtEscuela,PercepDifArte,AsistenciaArte,AsistArtFamilia,AsistArtAmigos,AsistArtConoci,AsitArtSolo,AsistArtNovio,CCGustoLeer,FrecLectura,PrefLectNove,PrefLectCuen,PrefLectComic,PrefLectPoesi,PrefLectNotInt,PrefLectNotper,PrefLectArtRev,PrefLectBlog,PrefLectRevis,PrefLectRedS,FuentLectComp,FuentLecPrest,FuentLecBiblio,FuentLecIntern,PrefMuseoArt,PrefMuseoHist,PrefMuseoCien,PrefMuseoNing,FrecAsistMuseo,AsistMuseoAmig,AsistMuseNov,AsisMuseEscue,AsisMuseFami,AsisMuseSolo,PrefMusRock,PrefMusMetal,PrefMusiPop,PrefMusiElectr,PrefMuscTradic,PrefMuscCumb,PrefMuscSalsa,PrefMuscRegu,PrefMuscTrova,PrefMuscCulta,PrefMuscRoman,GustoTV,PrefTVcaricat,PrefTVNoticias,PrefTVAnalPoli,PrefTVCultura,PrefTVSeries,PrefTVTelenov,PrefTVMusica,PrefTVDeporte,PrefTVReality,PrefTVConcur,P47_Otros,RSPolitImport,RSPolitAtracti,RSPolitUtil,RSPolitJusta,RelacPolitRobo,RelacPolitParticp,RelacPolitEnga,RelacPolitDemocr,RelacPolitCivis,RelacPolitParti,RelacPolitIgual,RelacPolitPueb,RelacPolitViole,RelacPolitGarant,RSEducEntret,RSEducUtil,RSEducPlacer,RSEducAnticua,RelacEduNeces,RelacEduDiner,RelacEduCult,RelacEduPosS,RelacEduValo,RelacEduLibe,RelacEduDerec,RelacEduPrivileg,RelacEduCertificados,RelacEduCompro,Ciudad
Mujer,14,12 a 14,Soltero,Estudio,D+,Sí,Sí,Sí,Sí,Sí,No,No,Supermercado,No,No,No,No,Sí,No,Sí,Sí,No,Sí,Sí,Sí,No,No,No,No,Sí,No,No,No,No,No,31 a 100,NS/NC,No,Secundaria Incompleta,Preparatoria Completa,Preparatoria Completa,Sí,Sí,No,No,No,No,No,No,Agradables,Entretenidas,Útiles,Emocionantes,Muy relacionado,Muy relacionado,Muy relacionado,Muy relacionado,Muy relacionado,Totalmente relacionado,Muy relacionado,Muy relacionado,Muy relacionado,Muy relacionado,No,No,No,No,No,No,No,NA,NA,No,No,No,No,No,Sí,Sí,No,Sí,No,No,No,No,Sí,No,No,Sí,No,No,Sí,Por lo menos 1 o 2 veces por semana,Sí,Sí,No,No,No,Sí,Por lo menos una vez al mes,Sí,Sí,No,No,No,No,No,No,No,No,No,No,No,Sí,Sí,No,No,No,Por lo menos 1-2 veces al año,Sí,No,No,Sí,No,No,No,Sí,Sí,Sí,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Irrelevante (no importante),Atractiva (Buena),Útil,Justa,Totalmente relacionado,Totalmente relacionado,Totalmente relacionado,Totalmente relacionado,Muy relacionado,Totalmente relacionado,Muy relacionado,Muy relacionado,Totalmente relacionado,Muy relacionado,Entretenida,Útil,Placer,Obsoleta,Totalmente relacionado,Totalmente relacionado,Totalmente relacionado,Muy relacionado,Totalmente relacionado,Relacionado,Relacionado,Muy relacionado,Muy relacionado,Muy relacionado,Mexico
Mujer,14,12 a 14,Soltero,Estudio,D+,Sí,No,Sí,Sí,Sí,No,No,Supermercado,No,Sí,No,No,Sí,No,No,No,No,Sí,Sí,No,No,No,No,No,No,Sí,Sí,No,No,No,1 a 10,NS/NC,No,Secundaria Incompleta,Primaria Incompleta,Primaria Incompleta,Sí,Sí,No,No,No,No,No,No,Agradables,Entretenidas,Útiles,Emocionantes,Totalmente relacionado,Muy relacionado,Muy relacionado,Relacionado,Muy relacionado,Totalmente relacionado,Relacionado,Muy relacionado,Relacionado,Relacionado,No,No,No,No,No,No,No,NA,NA,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,NA,NA,No,No,No,No,No,Sí,Diario,Sí,Sí,Sí,Sí,Sí,No,No,No,No,No,Sí,Sí,No,Sí,Sí,No,No,No,Por lo menos 1-2 veces al año,Sí,Sí,No,No,No,No,Sí,No,Sí,No,No,Sí,No,No,No,No,Sí,Sí,Sí,No,No,Sí,Sí,Sí,No,No,No,No,Relevante (importante),Repulsiva (Mala),Inútil,Justa,Totalmente relacionado,Muy relacionado,Totalmente relacionado,Muy relacionado,Muy relacionado,Totalmente relacionado,Muy relacionado,Relacionado,Muy relacionado,Muy relacionado,Aburrida,Útil,Obligación,Obsoleta,Totalmente relacionado,Muy relacionado,Muy relacionado,Muy relacionado,Relacionado,Muy relacionado,Totalmente relacionado,Muy relacionado,Muy relacionado,Muy relacionado,Mexico
Mujer,19,18 a 20,Soltero,Estudio,C,Sí,Sí,Sí,No,Sí,Sí,No,Mercado o tianguis,No,Sí,Sí,No,No,No,No,Sí,No,No,Sí,No,Sí,No,No,No,Sí,No,No,No,No,No,1 a 10,NS/NC,No,Preparatoria Completa,Secundria Completa,Secundria Completa,Sí,No,No,No,No,No,No,No,Agradables,Entretenidas,Útiles,Emocionantes,Poco relacionado,Relacionado,Relacionado,Muy relacionado,Relacionado,Relacionado,Nada relacionado,Muy relacionado,Relacionado,Muy relacionado,Sí,Sí,Sí,No,Sí,No,No,No,1 o 2 veces al mes,Sí,Sí,No,Sí,No,Sí,Sí,Sí,No,No,No,No,Sí,Sí,Sí,No,Sí,No,No,No,Una o dos veces al mes,Sí,Sí,No,Sí,No,Sí,Diario,Sí,No,No,No,No,Sí,No,No,Sí,No,Sí,Sí,No,No,No,Sí,No,No,Por lo menos 1-2 veces al año,Sí,No,No,No,No,Sí,No,Sí,Sí,No,No,No,No,No,No,No,Sí,Sí,No,Sí,No,Sí,Sí,No,No,No,Sí,No,Irrelevante (no importante),Repulsiva (Mala),Inútil,Injusta,Totalmente relacionado,Relacionado,Totalmente relacionado,Relacionado,Relacionado,Totalmente relacionado,Nada relacionado,Nada relacionado,Totalmente relacionado,Totalmente relacionado,Entretenida,Útil,Placer,Obsoleta,Totalmente relacionado,Totalmente relacionado,Totalmente relacionado,Relacionado,Totalmente relacionado,Totalmente relacionado,Totalmente relacionado,Totalmente relacionado,Totalmente relacionado,Totalmente relacionado,Mexico
Mujer,15,15 a 17,Soltero,Trabajo y Estudio,D+,Sí,No,Sí,No,Sí,No,No,Supermercado,No,Sí,No,No,No,No,No,No,No,Sí,Sí,Sí,No,No,No,No,Sí,Sí,No,No,No,No,1 a 10,NS/NC,No,Bachillerato Incompleto,Primaria Incompleta,Primaria Incompleta,Sí,Sí,No,No,Sí,No,No,No,Desagradables,Aburridas,Útiles,Indiferentes,Totalmente relacionado,Muy relacionado,Poco relacionado,Relacionado,Relacionado,Relacionado,Poco relacionado,Poco relacionado,Poco relacionado,Poco relacionado,No,No,No,No,No,No,No,NA,NA,No,No,No,No,No,Sí,Sí,Sí,No,No,No,No,Sí,Sí,Sí,No,Sí,No,No,NS/NR,Por lo menos 1 o 2 veces por semana,Sí,Sí,No,Sí,No,No,NA,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,NA,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Sí,No,No,No,No,Sí,Sí,Sí,No,No,No,No,Relevante (importante),Repulsiva (Mala),Útil,Injusta,Totalmente relacionado,Relacionado,Totalmente relacionado,Poco relacionado,Totalmente relacionado,Relacionado,Poco relacionado,Relacionado,Totalmente relacionado,Relacionado,Entretenida,Útil,Obligación,Obsoleta,Muy relacionado,Muy relacionado,Totalmente relacionado,Totalmente relacionado,Muy relacionado,Totalmente relacionado,Totalmente relacionado,Relacionado,Relacionado,Muy relacionado,Mexico
Mujer,13,12 a 14,Soltero,Estudio,C-,Sí,No,Sí,No,Sí,Sí,No,Supermercado,Sí,No,No,No,Sí,No,Sí,Sí,No,Sí,Sí,Sí,No,No,No,No,Sí,No,No,No,No,No,1 a 10,NS/NC,No,Secundaria Incompleta,Primaria Incompleta,Secundria Completa,Sí,No,No,No,No,No,No,No,Agradables,Entretenidas,Útiles,Emocionantes,Nada relacionado,Muy relacionado,Relacionado,Poco relacionado,Muy relacionado,Relacionado,Poco relacionado,Relacionado,Muy relacionado,Relacionado,No,No,No,No,No,No,No,NA,NA,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,NA,NA,No,No,No,No,No,Sí,Diario,Sí,No,Sí,No,Sí,Sí,No,Sí,No,No,Sí,Sí,No,Sí,Sí,Sí,No,No,Por lo menos 3-5 veces al año,Sí,Sí,No,No,No,No,Sí,Sí,No,No,Sí,No,Sí,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Relevante (importante),Repulsiva (Mala),Inútil,Justa,Totalmente relacionado,Relacionado,Totalmente relacionado,Relacionado,Poco relacionado,Poco relacionado,Poco relacionado,Relacionado,Totalmente relacionado,Relacionado,Entretenida,Útil,Placer,Moderna,Relacionado,Muy relacionado,Totalmente relacionado,Muy relacionado,Totalmente relacionado,Relacionado,Muy relacionado,Relacionado,Muy relacionado,Muy relacionado,Mexico
Hombre,21,21 a 24,Soltero,Trabajo y Estudio,C,Sí,Sí,Sí,No,No,No,No,Supermercado,Sí,Sí,No,No,Sí,No,No,No,No,Sí,Sí,No,No,No,No,No,No,No,No,No,No,No,11 a 30,NS/NC,No,Preparatoria Completa,Primaria Incompleta,Primaria Incompleta,Sí,Sí,No,No,No,Sí,Sí,No,Agradables,Entretenidas,Útiles,Indiferentes,Totalmente relacionado,Totalmente relacionado,Totalmente relacionado,Totalmente relacionado,Totalmente relacionado,Totalmente relacionado,Totalmente relacionado,Totalmente relacionado,Totalmente relacionado,Totalmente relacionado,No,No,No,No,No,No,No,NA,NA,No,No,No,No,No,Sí,Sí,Sí,No,No,No,No,Sí,Sí,No,Sí,No,Sí,No,Sí,Una o dos veces al mes,Sí,Sí,No,Sí,No,NS / NR,NA,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Sí,Sí,No,Por lo menos 1-2 veces al año,Sí,Sí,No,Sí,No,No,No,No,No,No,Sí,No,Sí,No,No,No,Sí,Sí,No,No,Sí,Sí,No,Sí,Sí,No,No,No,Relevante (importante),Repulsiva (Mala),Inútil,Injusta,Totalmente relacionado,Relacionado,Totalmente relacionado,Relacionado,Relacionado,Relacionado,Relacionado,Relacionado,Totalmente relacionado,Relacionado,Entretenida,Útil,Placer,Moderna,Totalmente relacionado,Totalmente relacionado,Totalmente relacionado,Totalmente relacionado,Totalmente relacionado,Totalmente relacionado,Totalmente relacionado,Totalmente relacionado,Totalmente relacionado,Totalmente relacionado,Mexico
Hombre,23,21 a 24,Soltero,Estudio,C,Sí,Sí,Sí,No,No,Sí,No,Mercado o tianguis,Sí,No,No,No,Sí,No,No,No,No,Sí,Sí,Sí,No,No,No,No,Sí,No,Sí,No,No,No,1 a 10,NS/NC,No,Bachillerato Incompleto,Secundria Completa,Secundria Completa,Sí,Sí,No,No,No,No,Sí,No,Agradables,Entretenidas,Útiles,Emocionantes,Totalmente relacionado,Muy relacionado,Totalmente relacionado,Totalmente relacionado,Muy relacionado,Totalmente relacionado,Totalmente relacionado,Totalmente relacionado,Muy relacionado,Totalmente relacionado,No,No,No,No,No,No,No,NA,NA,No,No,No,No,No,Sí,Sí,No,No,No,Sí,No,Sí,Sí,No,No,Sí,Sí,No,Sí,Una o dos veces al mes,Sí,Sí,No,Sí,No,No,NA,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Sí,No,No,No,Por lo menos 3-5 veces al año,Sí,Sí,No,Sí,No,Sí,No,No,Sí,Sí,No,No,No,No,No,Sí,Sí,Sí,Sí,No,No,Sí,Sí,No,No,No,Sí,No,Irrelevante (no importante),Atractiva (Buena),Inútil,Justa,Totalmente relacionado,Muy relacionado,Totalmente relacionado,Poco relacionado,Poco relacionado,Poco relacionado,Poco relacionado,Poco relacionado,Totalmente relacionado,Totalmente relacionado,Entretenida,Útil,Placer,Obsoleta,Relacionado,Totalmente relacionado,Relacionado,Relacionado,Muy relacionado,Relacionado,Relacionado,Relacionado,Totalmente relacionado,Totalmente relacionado,Mexico
Mujer,16,15 a 17,Soltero,Trabajo,C,Sí,No,No,No,No,No,No,Mercado o tianguis,No,No,Sí,Sí,No,No,No,No,No,Sí,No,No,Sí,Sí,No,No,No,No,No,No,No,No,1 a 10,NS/NC,No,Primaria Incompleta,Primaria Incompleta,Primaria Incompleta,Sí,No,No,No,No,No,Sí,No,Desagradables,Entretenidas,Inútiles,Emocionantes,Relacionado,Relacionado,Relacionado,Muy relacionado,Muy relacionado,Relacionado,Poco relacionado,Relacionado,Relacionado,Muy relacionado,No,No,No,No,No,No,No,NA,NA,No,No,No,No,No,Sí,Sí,Sí,Sí,No,No,No,No,Sí,Sí,No,Sí,No,No,No,Una o dos veces al mes,Sí,Sí,No,No,No,Sí,Diario,Sí,No,Sí,No,Sí,No,No,No,Sí,Sí,Sí,Sí,No,No,Sí,Sí,No,No,Por lo menos 3-5 veces al año,Sí,Sí,No,Sí,No,No,No,No,No,No,Sí,Sí,No,Sí,No,Sí,Sí,Sí,Sí,No,No,Sí,No,No,No,No,No,No,Relevante (importante),Repulsiva (Mala),Inútil,Injusta,Totalmente relacionado,Muy relacionado,Totalmente relacionado,Relacionado,Poco relacionado,Relacionado,Poco relacionado,Relacionado,Relacionado,Relacionado,Entretenida,Útil,Obligación,Moderna,Totalmente relacionado,Muy relacionado,Muy relacionado,Relacionado,Totalmente relacionado,Muy relacionado,Totalmente relacionado,Muy relacionado,Totalmente relacionado,Muy relacionado,Mexico
Mujer,19,18 a 20,Soltero,Estudio,C-,Sí,No,No,No,No,No,No,Mercado o tianguis,Sí,No,Sí,Sí,No,No,No,No,Sí,Sí,No,Sí,No,Sí,No,No,Sí,Sí,No,No,No,No,11 a 30,No,No,Secundria Completa,Universidad Completa,Secundria Completa,No,Sí,No,No,No,No,No,Sí,Agradables,Entretenidas,Útiles,Emocionantes,Muy relacionado,Relacionado,Totalmente relacionado,Totalmente relacionado,Poco relacionado,Totalmente relacionado,Muy relacionado,Totalmente relacionado,Poco relacionado,Relacionado,Sí,No,Sí,No,No,No,No,No,1 o 2 veces al año,No,No,No,No,No,Sí,Sí,No,No,No,No,Sí,Sí,Sí,Sí,No,No,No,No,Sí,Una o dos veces al año,Sí,Sí,Sí,No,No,Sí,Por lo menos una vez por semana,Sí,No,No,Sí,No,Sí,No,No,No,No,Sí,Sí,Sí,No,No,Sí,No,No,Por lo menos 1-2 veces al año,Sí,Sí,No,No,No,Sí,No,No,No,No,No,No,Sí,No,No,No,Sí,Sí,Sí,No,Sí,No,No,No,No,No,No,No,Relevante (importante),Atractiva (Buena),Útil,Justa,Totalmente relacionado,Muy relacionado,Muy relacionado,Totalmente relacionado,Totalmente relacionado,Totalmente relacionado,Muy relacionado,Totalmente relacionado,Totalmente relacionado,Totalmente relacionado,Entretenida,Útil,Placer,Obsoleta,Totalmente relacionado,Relacionado,Relacionado,Muy relacionado,Relacionado,Totalmente relacionado,Relacionado,Muy relacionado,Relacionado,Relacionado,Mexico
Hombre,20,18 a 20,Soltero,Estudio,AB,Sí,Sí,Sí,No,No,Sí,No,Mercado o tianguis,No,No,Sí,Sí,Sí,No,No,No,No,Sí,No,No,Sí,Sí,No,No,Sí,No,No,No,Sí,No,1 a 10,Sí,No,Universidad Incompleta,Universidad Completa,Universidad Completa,Sí,Sí,No,No,No,Sí,No,No,Agradables,Entretenidas,Útiles,Emocionantes,Nada relacionado,Muy relacionado,Muy relacionado,Muy relacionado,Muy relacionado,Muy relacionado,Poco relacionado,Muy relacionado,Muy relacionado,Muy relacionado,Sí,No,No,No,Sí,No,Sí,No,1 o 2 veces al año,No,Sí,No,No,No,Sí,Sí,No,No,No,No,No,Sí,No,No,No,Sí,No,Sí,No,Una o dos veces al año,No,Sí,No,No,No,Sí,Diario,No,No,No,No,Sí,Sí,Sí,No,No,Sí,No,Sí,No,Sí,No,Sí,Sí,No,Por lo menos 3-5 veces al año,No,Sí,No,Sí,Sí,Sí,Sí,No,Sí,No,No,Sí,No,No,No,Sí,No,No,No,No,No,No,No,No,No,No,No,No,Relevante (importante),Repulsiva (Mala),Inútil,Injusta,Totalmente relacionado,Nada relacionado,Totalmente relacionado,Nada relacionado,Nada relacionado,Nada relacionado,Nada relacionado,Nada relacionado,Poco relacionado,Poco relacionado,Entretenida,Útil,Placer,Moderna,Totalmente relacionado,Totalmente relacionado,Totalmente relacionado,Totalmente relacionado,Totalmente relacionado,Totalmente relacionado,Totalmente relacionado,Totalmente relacionado,Totalmente relacionado,Totalmente relacionado,Mexico
Mujer,18,18 a 20,Soltero,Ni estudio Ni trabajo,C+,Sí,Sí,Sí,Sí,Sí,Sí,No,Supermercado,Sí,No,Sí,Sí,No,No,No,No,No,No,Sí,No,Sí,No,Sí,No,Sí,Sí,No,No,No,No,Ninguno,No,No,Preparatoria Completa,Preparatoria Completa,Preparatoria Completa,Sí,Sí,No,Sí,Sí,No,Sí,No,Agradables,Entretenidas,Útiles,Emocionantes,Poco relacionado,Muy relacionado,Poco relacionado,Poco relacionado,Poco relacionado,Poco relacionado,Relacionado,Poco relacionado,Poco relacionado,Poco relacionado,No,No,No,No,No,No,No,NA,NA,No,No,No,No,No,Sí,Sí,No,No,Sí,No,Sí,No,Sí,Sí,Sí,No,No,No,Sí,Una o dos veces al mes,Sí,Sí,Sí,No,No,Sí,Por lo menos una vez por semana,Sí,No,Sí,No,Sí,No,No,Sí,Sí,No,No,Sí,No,Sí,No,Sí,Sí,No,Por lo menos 1-2 veces al año,Sí,Sí,No,No,Sí,Sí,No,Sí,No,No,No,Sí,Sí,No,No,No,Sí,Sí,Sí,No,No,Sí,No,No,No,Sí,Sí,No,Irrelevante (no importante),Repulsiva (Mala),Inútil,Injusta,Totalmente relacionado,Nada relacionado,Totalmente relacionado,Nada relacionado,Nada relacionado,Nada relacionado,Nada relacionado,Nada relacionado,Totalmente relacionado,Poco relacionado,Aburrida,Útil,Obligación,Obsoleta,Poco relacionado,Poco relacionado,Poco relacionado,Relacionado,Poco relacionado,Relacionado,Poco relacionado,Poco relacionado,Muy relacionado,Muy relacionado,Mexico
Mujer,18,18 a 20,Soltero,Ni estudio Ni trabajo,D+,Sí,No,No,Sí,Sí,Sí,No,Supermercado,Sí,No,Sí,No,Sí,No,No,No,No,Sí,No,No,Sí,Sí,No,No,Sí,No,No,No,No,No,1 a 10,No,No,Secundria Completa,Bachillerato Técnico Completo,Secundria Completa,Sí,Sí,No,Sí,No,No,No,No,Desagradables,Aburridas,Útiles,Indiferentes,Poco relacionado,Poco relacionado,Poco relacionado,Muy relacionado,Muy relacionado,Muy relacionado,Poco relacionado,Muy relacionado,Muy relacionado,Muy relacionado,No,No,No,No,No,No,No,NA,NA,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,NA,NA,No,No,No,No,No,Sí,Por lo menos una vez por semana,No,No,Sí,No,No,No,No,No,Sí,No,No,Sí,Sí,No,No,No,No,No,NA,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Sí,No,Sí,No,No,No,No,Sí,No,Sí,No,No,Irrelevante (no importante),Repulsiva (Mala),Inútil,Injusta,Totalmente relacionado,Poco relacionado,Totalmente relacionado,Poco relacionado,Totalmente relacionado,Totalmente relacionado,Relacionado,Relacionado,Muy relacionado,Muy relacionado,Aburrida,Útil,Obligación,Obsoleta,Totalmente relacionado,Totalmente relacionado,Totalmente relacionado,Totalmente relacionado,Totalmente relacionado,Totalmente relacionado,Totalmente relacionado,Totalmente relacionado,Totalmente relacionado,Totalmente relacionado,Mexico
Hombre,23,21 a 24,Soltero,Trabajo y Estudio,C+,Sí,No,Sí,Sí,Sí,Sí,No,Supermercado,No,Sí,Sí,No,No,No,No,No,No,Sí,Sí,Sí,No,No,No,No,No,No,No,No,No,No,1 a 10,Sí,No,Universidad Incompleta,Diplomado / Maestria,Diplomado / Maestria,Sí,Sí,No,No,No,No,No,No,Agradables,Entretenidas,Útiles,Indiferentes,Totalmente relacionado,Muy relacionado,Relacionado,Totalmente relacionado,Muy relacionado,Muy relacionado,Relacionado,Muy relacionado,Totalmente relacionado,Muy relacionado,Sí,Sí,No,No,Sí,No,No,Sí,1 o dos veces por semana,Sí,Sí,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,NA,NA,No,No,No,No,No,Sí,Por lo menos una vez por semana,Sí,Sí,No,No,No,No,No,No,No,No,No,No,No,Sí,No,No,No,No,NA,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Sí,Sí,No,No,No,No,No,No,No,No,No,No,Irrelevante (no importante),Repulsiva (Mala),Útil,Injusta,Totalmente relacionado,Relacionado,Totalmente relacionado,Muy relacionado,Relacionado,Muy relacionado,Relacionado,Muy relacionado,Muy relacionado,Muy relacionado,Entretenida,Útil,Placer,Moderna,Muy relacionado,Relacionado,Muy relacionado,Muy relacionado,Muy relacionado,Muy relacionado,Muy relacionado,Muy relacionado,Muy relacionado,Muy relacionado,Mexico
Mujer,12,12 a 14,Soltero,Estudio,C+,No,Sí,Sí,No,No,No,No,Supermercado,Sí,No,No,No,Sí,No,No,No,No,No,No,Sí,No,No,No,No,No,No,No,No,No,No,1 a 10,NS/NC,Sí,Secundaria Incompleta,Bachillerato Incompleto,Bachillerato Incompleto,Sí,Sí,No,No,No,No,No,No,Desagradables,Aburridas,Útiles,Indiferentes,Nada relacionado,Poco relacionado,Poco relacionado,Poco relacionado,Relacionado,Poco relacionado,Poco relacionado,Relacionado,Poco relacionado,Nada relacionado,Sí,No,Sí,No,Sí,No,No,No,1 o 2 veces al mes,Sí,Sí,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,NA,NA,No,No,No,No,No,Sí,Diario,Sí,No,Sí,No,No,No,No,No,No,No,Sí,No,No,Sí,No,Sí,Sí,No,Por lo menos 1-2 veces al año,Sí,No,No,No,No,No,No,No,Sí,No,No,No,No,No,No,No,Sí,No,Sí,No,No,No,No,No,No,No,No,No,Irrelevante (no importante),Repulsiva (Mala),Inútil,Injusta,Totalmente relacionado,Muy relacionado,Relacionado,Muy relacionado,Muy relacionado,Relacionado,Relacionado,Muy relacionado,Relacionado,Relacionado,Entretenida,Útil,Placer,Moderna,Totalmente relacionado,Nada relacionado,Totalmente relacionado,Relacionado,Totalmente relacionado,Totalmente relacionado,Totalmente relacionado,Totalmente relacionado,Totalmente relacionado,Totalmente relacionado,Mexico
Hombre,20,18 a 20,Soltero,Trabajo,C,No,Sí,Sí,No,Sí,No,No,Supermercado,No,No,No,No,Sí,No,No,No,No,No,No,Sí,Sí,No,No,No,Sí,No,No,No,No,No,11 a 30,Sí,No,Preparatoria Completa,Secundria Completa,Secundria Completa,No,Sí,Sí,No,No,No,No,No,Desagradables,Entretenidas,Útiles,Emocionantes,Totalmente relacionado,Muy relacionado,Relacionado,Muy relacionado,Muy relacionado,Totalmente relacionado,Muy relacionado,Muy relacionado,Relacionado,Relacionado,Sí,No,Sí,No,Sí,No,No,Sí,1 o dos veces por semana,Sí,No,No,No,No,Sí,No,Sí,No,Sí,No,No,No,Sí,No,No,No,No,No,No,Por lo menos 1 o 2 veces por semana,Sí,No,No,No,No,No,NA,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,NA,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Sí,No,No,Sí,No,Sí,No,No,No,No,No,No,Irrelevante (no importante),Atractiva (Buena),Útil,Justa,Muy relacionado,Relacionado,Muy relacionado,Totalmente relacionado,Muy relacionado,Relacionado,Relacionado,Muy relacionado,Relacionado,Relacionado,Entretenida,Inútil,Placer,Obsoleta,Muy relacionado,Relacionado,Muy relacionado,Totalmente relacionado,Muy relacionado,Relacionado,Relacionado,Muy relacionado,Muy relacionado,Muy relacionado,Mexico
Hombre,15,15 a 17,Soltero,Estudio,C+,No,Sí,Sí,Sí,No,No,No,Supermercado,No,No,No,No,Sí,No,No,No,No,Sí,No,Sí,No,No,No,No,No,No,No,No,No,No,1 a 10,Sí,No,Bachillerato Incompleto,Universidad Completa,Universidad Completa,Sí,Sí,No,No,No,No,No,No,Agradables,Entretenidas,Útiles,Emocionantes,Muy relacionado,Relacionado,Muy relacionado,Muy relacionado,Relacionado,Muy relacionado,Relacionado,Relacionado,Relacionado,Relacionado,Sí,No,Sí,No,Sí,No,No,Sí,1 o 2 veces al mes,Sí,Sí,No,No,No,Sí,Sí,Sí,No,No,No,No,No,No,Sí,No,Sí,No,No,Sí,Por lo menos 1 o 2 veces por semana,Sí,Sí,No,No,No,Sí,Diario,Sí,No,No,No,Sí,Sí,No,No,No,No,Sí,Sí,No,Sí,Sí,No,No,No,Por lo menos 3-5 veces al año,Sí,No,No,Sí,No,No,No,No,No,No,Sí,Sí,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Relevante (importante),Atractiva (Buena),Inútil,Justa,Totalmente relacionado,Muy relacionado,Muy relacionado,Muy relacionado,Totalmente relacionado,Muy relacionado,Relacionado,Relacionado,Muy relacionado,Muy relacionado,Entretenida,Inútil,Placer,Obsoleta,Muy relacionado,Relacionado,Muy relacionado,Poco relacionado,Relacionado,Relacionado,Muy relacionado,Relacionado,Relacionado,Relacionado,Mexico
